自建应用获取 tenant_access_token	POST:/open-apis/auth/v3/tenant_access_token/internal	/document/ukTMukTMukTM/ukDNz4SO0MjL5QzM/auth-v3/auth/tenant_access_token_internal	auth
获取文件夹中的文件清单	GET:/open-apis/drive/v1/files	/document/uAjLw4CM/ukTMukTMukTM/reference/drive-v1/file/list	ccm
新建文件夹	POST:/open-apis/drive/v1/files/create_folder	/document/uAjLw4CM/ukTMukTMukTM/reference/drive-v1/file/create_folder	ccm
复制文件	POST:/open-apis/drive/v1/files/:file_token/copy	/document/uAjLw4CM/ukTMukTMukTM/reference/drive-v1/file/copy	ccm
移动文件或文件夹	POST:/open-apis/drive/v1/files/:file_token/move	/document/uAjLw4CM/ukTMukTMukTM/reference/drive-v1/file/move	ccm
删除文件或文件夹	DELETE:/open-apis/drive/v1/files/:file_token	/document/uAjLw4CM/ukTMukTMukTM/reference/drive-v1/file/delete	ccm
搜索云文档	POST:/open-apis/suite/docs-api/search/object	/document/ukTMukTMukTM/ugDM4UjL4ADO14COwgTN	ccm
上传文件	POST:/open-apis/drive/v1/files/upload_all	/document/uAjLw4CM/ukTMukTMukTM/reference/drive-v1/file/upload_all	ccm
下载文件	GET:/open-apis/drive/v1/files/:file_token/download	/document/uAjLw4CM/ukTMukTMukTM/reference/drive-v1/file/download	ccm
获取知识空间列表	GET:/open-apis/wiki/v2/spaces	/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/wiki-v2/space/list	ccm
获取知识空间信息	GET:/open-apis/wiki/v2/spaces/:space_id	/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/wiki-v2/space/get	ccm
创建知识空间	POST:/open-apis/wiki/v2/spaces	/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/wiki-v2/space/create	ccm
创建知识空间节点	POST:/open-apis/wiki/v2/spaces/:space_id/nodes	/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/wiki-v2/space-node/create	ccm
获取知识空间节点信息	GET:/open-apis/wiki/v2/spaces/get_node	/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/wiki-v2/space/get_node	ccm
获取知识空间子节点列表	GET:/open-apis/wiki/v2/spaces/:space_id/nodes	/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/wiki-v2/space-node/list	ccm
移动知识空间节点	POST:/open-apis/wiki/v2/spaces/:space_id/nodes/:node_token/move	/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/wiki-v2/space-node/move	ccm
创建文档	POST:/open-apis/docx/v1/documents	/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/document-docx/docx-v1/document/create	ccm
获取文档基本信息	GET:/open-apis/docx/v1/documents/:document_id	/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/document-docx/docx-v1/document/get	ccm
获取文档纯文本内容	GET:/open-apis/docx/v1/documents/:document_id/raw_content	/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/document-docx/docx-v1/document/raw_content	ccm
获取文档所有块	GET:/open-apis/docx/v1/documents/:document_id/blocks	/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/document-docx/docx-v1/document-block/list	ccm
创建块	POST:/open-apis/docx/v1/documents/:document_id/blocks/:block_id/children	/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/document-docx/docx-v1/document-block-children/create	ccm
更新块的内容	PATCH:/open-apis/docx/v1/documents/:document_id/blocks/:block_id	/document/ukTMukTMukTM/uUDN04SN0QjL1QDN/document-docx/docx-v1/document-block/patch	ccm
增加协作者权限	POST:/open-apis/drive/v1/permissions/:token/members	/document/uAjLw4CM/ukTMukTMukTM/reference/drive-v1/permission-member/create	ccm
更新协作者权限	PUT:/open-apis/drive/v1/permissions/:token/members/:member_id	/document/uAjLw4CM/ukTMukTMukTM/reference/drive-v1/permission-member/update	ccm
获取云文档协作者	GET:/open-apis/drive/v1/permissions/:token/members	/document/uAjLw4CM/ukTMukTMukTM/reference/drive-v1/permission-member/list	ccm
移除云文档协作者权限	DELETE:/open-apis/drive/v1/permissions/:token/members/:member_id	/document/uAjLw4CM/ukTMukTMukTM/reference/drive-v1/permission-member/delete	ccm
更新云文档权限设置	PATCH:/open-apis/drive/v2/permissions/:token/public	/document/ukTMukTMukTM/uIzNzUjLyczM14iM3MTN/drive-v2/permission-public/patch	ccm
获取云文档权限设置	GET:/open-apis/drive/v2/permissions/:token/public	/document/ukTMukTMukTM/uIzNzUjLyczM14iM3MTN/drive-v2/permission-public/get	ccm
